Year,Section,Statement,Measure,1,2,3,4,5
2016,Caring,The most vulnerable people are well protected and supported,Percentage,9.5%,24.9%,42.0%,20.5%,3.1%
2016,Caring,The most vulnerable people are well protected and supported,Count,112,292,493,241,36
2016,Caring,Families with children get all the support they need,Percentage,6.6%,23.9%,44.4%,21.5%,3.6%
2016,Caring,Families with children get all the support they need,Count,73,266,494,239,40
2016,Caring,People in Devon can grow old knowing help and support will be there when it’s needed,Percentage,13.3%,25.2%,36.4%,21.1%,4.0%
2016,Caring,People in Devon can grow old knowing help and support will be there when it’s needed,Count,162,307,444,257,49
2016,Caring,Devon is a good place for older and vulnerable people to stay independent in their own homes,Percentage,10.9%,23.7%,35.2%,25.2%,5.1%
2016,Caring,Devon is a good place for older and vulnerable people to stay independent in their own homes,Count,129,280,416,298,60
2016,Caring,Good information is available to help people make choices about their future care and support,Percentage,8.3%,22.8%,42.3%,21.3%,5.2%
2016,Caring,Good information is available to help people make choices about their future care and support,Count,95,261,484,244,60
2016,People and communities,People feel safe and well protected,Percentage,2.3%,8.1%,25.5%,47.5%,16.5%
2016,People and communities,People feel safe and well protected,Count,30,104,326,608,211
2016,People and communities,Everyone has the opportunity to fulfil their potential,Percentage,5.7%,17.2%,41.0%,27.8%,8.2%
2016,People and communities,Everyone has the opportunity to fulfil their potential,Count,72,216,514,349,103
2016,People and communities,People have choices in the way they live their day-to-day lives,Percentage,2.8%,10.2%,31.0%,39.6%,16.4%
2016,People and communities,People have choices in the way they live their day-to-day lives,Count,35,130,393,503,208
2016,People and communities,People have the opportunity to continue to learn and grow throughout their lives,Percentage,3.7%,11.2%,33.5%,37.8%,13.9%
2016,People and communities,People have the opportunity to continue to learn and grow throughout their lives,Count,46,141,420,474,174
2016,People and communities,People can get good quality and affordable homes,Percentage,34.0%,31.3%,24.3%,8.0%,2.4%
2016,People and communities,People can get good quality and affordable homes,Count,429,394,306,101,30
2016,People and communities,People can get involved in decisions affecting their local area,Percentage,7.7%,18.5%,30.8%,31.9%,11.1%
2016,People and communities,People can get involved in decisions affecting their local area,Count,98,236,392,406,142
2016,People and communities,People come together to support each other in their community,Percentage,3.6%,12.2%,31.0%,38.1%,15.2%
2016,People and communities,People come together to support each other in their community,Count,45,155,392,482,192
2016,Environment,People care about their local environment,Percentage,2.3%,8.3%,21.2%,48.9%,19.3%
2016,Environment,People care about their local environment,Count,30,107,272,629,248
2016,Environment,People have good access to the countryside and open spaces,Percentage,1.1%,3.5%,9.1%,35.0%,51.3%
2016,Environment,People have good access to the countryside and open spaces,Count,14,45,117,452,662
2016,Environment,People can travel to the places they need to go,Percentage,9.7%,21.1%,31.9%,24.9%,12.4%
2016,Environment,People can travel to the places they need to go,Count,124,270,409,319,159
2016,Environment,There is the right balance between development and protecting the environment,Percentage,14.7%,23.5%,32.3%,23.0%,6.6%
2016,Environment,There is the right balance between development and protecting the environment,Count,186,298,409,291,83
2016,Environment,Our natural resources are used well with an eye on the future,Percentage,8.6%,19.2%,38.3%,27.7%,6.2%
2016,Environment,Our natural resources are used well with an eye on the future,Count,105,235,468,338,76
2016,Environment,Waste is well managed and dealt with in the best possible manner,Percentage,7.3%,14.1%,28.6%,37.5%,12.4%
2016,Environment,Waste is well managed and dealt with in the best possible manner,Count,93,179,363,476,157
2016,To what extent should Devon County Council prioritise?,Planning for emergencies such as flooding,Percentage,9.7%,18.2%,31.8%,26.9%,13.5%
2016,To what extent should Devon County Council prioritise?,Planning for emergencies such as flooding,Count,109,205,359,303,152
2016,To what extent should Devon County Council prioritise?,Looking after the local environment,Percentage,5.2%,12.3%,32.2%,37.0%,13.3%
2016,To what extent should Devon County Council prioritise?,Looking after the local environment,Count,64,150,394,453,163
2016,To what extent should Devon County Council prioritise?,Looking out for vulnerable families and children at risk,Percentage,8.9%,21.8%,43.0%,22.4%,4.0%
2016,To what extent should Devon County Council prioritise?,Looking out for vulnerable families and children at risk,Count,94,231,457,238,42
2016,To what extent should Devon County Council prioritise?,Helping people stay healthy with a good quality of life,Percentage,5.5%,14.3%,42.3%,30.6%,7.4%
2016,To what extent should Devon County Council prioritise?,Helping people stay healthy with a good quality of life,Count,64,166,492,356,86
2016,To what extent should Devon County Council prioritise?,Helping older and vulnerable people to stay in their own homes,Percentage,8.1%,19.4%,40.3%,25.7%,6.5%
2016,To what extent should Devon County Council prioritise?,Helping older and vulnerable people to stay in their own homes,Count,88,212,440,281,71
2016,To what extent should Devon County Council prioritise?,Providing young people with places to meet and things to do,Percentage,15.5%,30.8%,32.9%,17.0%,3.8%
2016,To what extent should Devon County Council prioritise?,Providing young people with places to meet and things to do,Count,178,355,379,196,44
2016,To what extent should Devon County Council prioritise?,Managing and running community spaces and facilities,Percentage,8.3%,14.4%,36.1%,27.6%,13.6%
2016,To what extent should Devon County Council prioritise?,Managing and running community spaces and facilities,Count,100,175,437,335,165
2016,Community resilience,People feel a part of their local community,Percentage,4.6%,10.0%,26.1%,41.0%,18.3%
2016,Community resilience,People feel a part of their local community,Count,59,128,334,525,234
2016,Community resilience,People have opportunities to contribute to community life if they choose,Percentage,2.4%,7.0%,19.2%,42.3%,29.2%
2016,Community resilience,People have opportunities to contribute to community life if they choose,Count,31,89,245,541,373
2016,Community resilience,People are active in helping to shape community life,Percentage,4.6%,12.7%,31.7%,34.7%,16.4%
2016,Community resilience,People are active in helping to shape community life,Count,58,161,402,440,208
